Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,1,1
2020-04-17,0,1,1
2020-04-18,1,1,0
2020-04-19,1,1,0
2020-04-20,1,1,0
2020-04-21,1,1,0
2020-04-22,1,2,1
2020-04-23,1,2,1
2020-04-24,2,2,0
2020-04-25,2,2,0
2020-04-26,2,2,0
2020-04-27,2,2,0
2020-04-28,2,2,0
2020-04-29,2,2,0
2020-04-30,2,2,0
2020-05-01,2,2,0
2020-05-02,2,2,0
2020-05-03,2,3,1
2020-05-04,2,3,1
2020-05-05,3,3,0
2020-05-06,3,3,0
2020-05-07,3,3,+
2020-05-08,3,3,+
2020-05-09,3,3,+
2020-05-10,3,3,+
2020-05-11,3,3,+
2020-05-12,3,4,1
2020-05-13,3,4,1
2020-05-14,4,4,+
2020-05-15,4,4,+
2020-05-16,4,4,+
2020-05-17,4,5,1
2020-05-18,4,5,1
2020-05-19,5,5,+
2020-05-20,5,5,+
2020-05-21,5,6,1
2020-05-22,5,7,2
2020-05-23,7,7,+
2020-05-24,7,9,2
2020-05-25,8,9,1
2020-05-26,9,9,+
2020-05-27,9,9,+
2020-05-28,9,9,+
2020-05-29,9,8,-1
2020-05-30,8,8,+
2020-05-31,8,8,+
2020-06-01,8,9,1
2020-06-02,9,9,+
2020-06-03,9,9,+
2020-06-04,9,10,1
2020-06-05,10,11,1
2020-06-06,11,10,-1
2020-06-07,10,11,1
2020-06-08,11,11,+
2020-06-09,11,13,2
2020-06-10,13,13,+
2020-06-11,13,16,3
2020-06-12,15,14,-1
2020-06-13,14,16,2
2020-06-14,16,17,1
2020-06-15,17,17,+
2020-06-16,17,20,3
2020-06-17,20,22,2
2020-06-18,22,22,+
2020-06-19,22,22,+
2020-06-20,22,22,+
2020-06-21,22,23,1
2020-06-22,23,24,1
2020-06-23,24,25,1
2020-06-24,25,27,2
2020-06-25,27,27,+
2020-06-26,27,29,2
2020-06-27,29,29,+
2020-06-28,29,30,1
2020-06-29,30,31,1
2020-06-30,31,33,2
2020-07-01,33,35,2
2020-07-02,35,37,2
2020-07-03,37,38,1
2020-07-04,38,39,1
2020-07-05,39,41,2
2020-07-06,41,42,1
2020-07-07,42,42,+
2020-07-08,43,44,1
2020-07-09,44,44,+
2020-07-10,45,45,+
2020-07-11,46,45,-1
2020-07-12,46,45,-1
2020-07-13,46,45,-1
2020-07-14,46,48,2
2020-07-15,48,48,+
2020-07-16,49,49,+
2020-07-17,50,50,+
2020-07-18,51,50,-1
2020-07-19,51,50,-1
2020-07-20,51,54,3
2020-07-21,54,53,-1
2020-07-22,54,55,1
2020-07-23,56,55,-1
2020-07-24,56,58,2
2020-07-25,59,60,1
2020-07-26,61,60,-1
2020-07-27,61,61,+
2020-07-28,62,64,2
2020-07-29,65,69,4
2020-07-30,70,69,-1
2020-07-31,70,71,1
2020-08-01,72,72,+
2020-08-02,73,73,+
2020-08-03,74,75,1
2020-08-04,76,78,2
2020-08-05,77.9186,81,3.08138
2020-08-06,79.7357,82,2.26428
2020-08-07,81.6197,83,1.38026
2020-08-08,83.5443,85,1.45575
2020-08-09,85.5148,86,0.485199
2020-08-10,87.5317,86,-1.53172
2020-08-11,89.5962,88,-1.59623
2020-08-12,91.7094,90,-1.70943
2020-08-13,93.8725,92,-1.87247
2020-08-14,96.0865,95,-1.08653
2020-08-15,98.3528,99,0.647191
2020-08-16,100.673,100,-0.67254
2020-08-17,103.047,100,-3.04698
2020-08-18,105.477,103,-2.47743
2020-08-19,107.965,106,-1.9652
2020-08-20,110.512,2.83309e-315,-110.512
