Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,1,1
2020-04-18,1,2,1
2020-04-19,2,4,2
2020-04-20,4,4,0
2020-04-21,4,4,0
2020-04-22,4,5,1
2020-04-23,5,11,6
2020-04-24,11,11,0
2020-04-25,11,13,2
2020-04-26,13,15,2
2020-04-27,15,15,0
2020-04-28,15,16,1
2020-04-29,16,16,0
2020-04-30,16,26,10
2020-05-01,27,30,3
2020-05-02,31,39,8
2020-05-03,41,49,8
2020-05-04,52,54,2
2020-05-05,57,58,1
2020-05-06,61,59,-2
2020-05-07,62,68,6
2020-05-08,72,83,11
2020-05-09,88,92,4
2020-05-10,97,96,-1
2020-05-11,101,96,-5
2020-05-12,101,107,6
2020-05-13,113,108,-5
2020-05-14,113,121,8
2020-05-15,128,138,10
2020-05-16,146,152,6
2020-05-17,160,161,1
2020-05-18,170,163,-7
2020-05-19,171,173,2
2020-05-20,182,186,4
2020-05-21,196,203,7
2020-05-22,214,214,+
2020-05-23,226,215,-11
2020-05-24,226,227,1
2020-05-25,239,237,-2
2020-05-26,250,237,-13
2020-05-27,249,243,-6
2020-05-28,256,252,-4
2020-05-29,266,259,-7
2020-05-30,273,270,-3
2020-05-31,285,283,-2
2020-06-01,298,297,-1
2020-06-02,313,301,-12
2020-06-03,317,328,11
2020-06-04,346,338,-8
2020-06-05,356,349,-7
2020-06-06,368,405,37
2020-06-07,429,433,4
2020-06-08,457,434,-23
2020-06-09,482.735,474,-8.73472
2020-06-10,509.933,502,-7.93264
2020-06-11,538.663,512,-26.6634
2020-06-12,569.013,517,-52.013
2020-06-13,601.072,596,-5.0725
2020-06-14,634.938,627,-7.93833
2020-06-15,670.712,627,-43.7122
2020-06-16,708.502,631,-77.5017
2020-06-17,748.42,645,-103.42
2020-06-18,790.588,722,-68.5881
2020-06-19,835.132,815,-20.1317
2020-06-20,882.185,913,30.815
2020-06-21,931.889,924,-7.88935
2020-06-22,984.394,945,-39.3942
2020-06-23,1039.86,1061,21.1428
2020-06-24,1098.45,1.58595e-321,-1098.45
