Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,8,8,0
2020-03-29,8,8,0
2020-03-30,9,9,0
2020-03-31,9,9,0
2020-04-01,9,9,0
2020-04-02,9,9,0
2020-04-03,9,9,0
2020-04-04,10,10,0
2020-04-05,12,12,0
2020-04-06,12,12,0
2020-04-07,12,13,1
2020-04-08,13,15,2
2020-04-09,15,15,0
2020-04-10,15,15,0
2020-04-11,15,15,0
2020-04-12,15,15,0
2020-04-13,15,16,1
2020-04-14,16,16,0
2020-04-15,16,17,1
2020-04-16,17,21,4
2020-04-17,21,21,0
2020-04-18,21,23,2
2020-04-19,23,23,0
2020-04-20,23,24,1
2020-04-21,24,26,2
2020-04-22,26,26,0
2020-04-23,27,25,-2
2020-04-24,26,28,2
2020-04-25,29,30,1
2020-04-26,31,31,0
2020-04-27,32,33,1
2020-04-28,34,38,4
2020-04-29,39,49,10
2020-04-30,50,55,5
2020-05-01,57,64,7
2020-05-02,66,70,4
2020-05-03,72,87,15
2020-05-04,89,95,6
2020-05-05,98,108,10
2020-05-06,111,114,3
2020-05-07,118,136,18
2020-05-08,140,153,13
2020-05-09,158,164,6
2020-05-10,170,170,+
2020-05-11,176,177,1
2020-05-12,183,190,7
2020-05-13,197,212,15
2020-05-14,219,225,6
2020-05-15,233,249,16
2020-05-16,258,267,9
2020-05-17,277,283,6
2020-05-18,293,323,30
2020-05-19,334,339,5
2020-05-20,352,358,6
2020-05-21,371,378,7
2020-05-22,392,403,11
2020-05-23,418,425,7
2020-05-24,441,444,3
2020-05-25,461,450,-11
2020-05-26,468,473,5
2020-05-27,491,531,40
2020-05-28,550,552,2
2020-05-29,573,587,14
2020-05-30,609,643,34
2020-05-31,667,668,1
2020-06-01,694,678,-16
2020-06-02,705,710,5
2020-06-03,737,744,7
2020-06-04,773,768,-5
2020-06-05,798,813,15
2020-06-06,844,860,16
2020-06-07,893,890,-3
2020-06-08,925,903,-22
2020-06-09,939,934,-5
2020-06-10,970,984,14
2020-06-11,1022,1013,-9
2020-06-12,1053,1028,-25
2020-06-13,1069,1073,4
2020-06-14,1115,1083,-32
2020-06-15,1126,1103,-23
2020-06-16,1147,1153,6
2020-06-17,1198,1194,-4
2020-06-18,1241,1248,7
2020-06-19,1296,1298,2
2020-06-20,1349,1374,25
2020-06-21,1427,1416,-11
2020-06-22,1472,1437,-35
2020-06-23,1494,1497,3
2020-06-24,1555,1547,-8
2020-06-25,1608,1625,17
2020-06-26,1688,1682,-6
2020-06-27,1748,1775,27
2020-06-28,1843,1803,-40
2020-06-29,1875,1847,-28
2020-06-30,1920,1911,-9
2020-07-01,1986,2022,36
2020-07-02,2100,2097,-3
2020-07-03,2182.74,2194,11.2612
2020-07-04,2268.68,2310,41.3225
2020-07-05,2358,2378,19.9983
2020-07-06,2450.84,2411,-39.8429
2020-07-07,2547.34,2539,-8.33942
2020-07-08,2647.64,2687,39.3647
2020-07-09,2751.88,2831,79.1198
2020-07-10,2860.23,2922,61.7706
2020-07-11,2972.84,3102,129.155
2020-07-12,3089.89,3142,52.1061
2020-07-13,3211.55,3229,17.4483
2020-07-14,3338,3379,41.0005
2020-07-15,3469.43,3504,34.5741
2020-07-16,3606.03,3675,68.9731
2020-07-17,3748.01,3826,77.9937
2020-07-18,3895.58,7.75189e-321,-3895.58
