Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,1,1
2020-05-03,1,1,0
2020-05-04,1,3,2
2020-05-05,3,3,0
2020-05-06,3,4,1
2020-05-07,4,4,+
2020-05-08,4,4,+
2020-05-09,4,4,+
2020-05-10,4,4,+
2020-05-11,4,4,+
2020-05-12,4,6,2
2020-05-13,6,9,3
2020-05-14,9,9,+
2020-05-15,9,9,+
2020-05-16,9,10,1
2020-05-17,10,13,3
2020-05-18,13,14,1
2020-05-19,14,17,3
2020-05-20,17,17,+
2020-05-21,17,19,2
2020-05-22,19,19,+
2020-05-23,19,19,+
2020-05-24,19,19,+
2020-05-25,19,20,1
2020-05-26,20,20,+
2020-05-27,20,20,+
2020-05-28,20,21,1
2020-05-29,21,22,1
2020-05-30,22,22,+
2020-05-31,22,23,1
2020-06-01,23,23,+
2020-06-02,23,23,+
2020-06-03,23,25,2
2020-06-04,25,27,2
2020-06-05,27,28,1
2020-06-06,28,29,1
2020-06-07,29,30,1
2020-06-08,30,32,2
2020-06-09,32,34,2
2020-06-10,34,35,1
2020-06-11,35,35,+
2020-06-12,35,37,2
2020-06-13,37,38,1
2020-06-14,38,38,+
2020-06-15,38,38,+
2020-06-16,38,38,+
2020-06-17,38,42,4
2020-06-18,43,43,+
2020-06-19,43,44,1
2020-06-20,44,45,1
2020-06-21,45,44,-1
2020-06-22,44,45,1
2020-06-23,45,45,+
2020-06-24,45,47,2
2020-06-25,47,47,+
2020-06-26,47,48,1
2020-06-27,48,48,+
2020-06-28,48,48,+
2020-06-29,48,48,+
2020-06-30,48,48,+
2020-07-01,48,49,1
2020-07-02,49,47,-2
2020-07-03,47,47,+
2020-07-04,47,49,2
2020-07-05,49,49,+
2020-07-06,49,49,+
2020-07-07,49,50,1
2020-07-08,50,52,2
2020-07-09,52,54,2
2020-07-10,54,56,2
2020-07-11,56,56,+
2020-07-12,56,56,+
2020-07-13,56,56,+
2020-07-14,56,59,3
2020-07-15,60,59,-1
2020-07-16,59,61,2
2020-07-17,61,62,1
2020-07-18,62,62,+
2020-07-19,62,63,1
2020-07-20,63,66,3
2020-07-21,67,68,1
2020-07-22,69,69,+
2020-07-23,69,70,1
2020-07-24,70,72,2
2020-07-25,73,72,-1
2020-07-26,72,74,2
2020-07-27,72.7362,74,1.26378
2020-07-28,73.6045,74,0.395547
2020-07-29,74.5039,74,-0.503888
2020-07-30,75.4178,75,-0.417797
2020-07-31,76.3435,75,-1.3435
2020-08-01,77.2807,75,-2.28066
2020-08-02,78.2293,76,-2.22934
2020-08-03,79.1897,77,-2.18967
2020-08-04,80.1618,77,-3.16179
2020-08-05,81.1458,77,-4.14584
2020-08-06,82.142,77,-5.14197
2020-08-07,83.1503,78,-5.15033
2020-08-08,84.1711,79,-5.17107
2020-08-09,85.2043,80,-5.20434
2020-08-10,86.2503,80,-6.25029
2020-08-11,87.3091,7.67284e-321,-87.3091
