Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,1,1
2020-03-26,1,1,0
2020-03-27,1,1,0
2020-03-28,1,1,0
2020-03-29,1,1,0
2020-03-30,1,1,0
2020-03-31,1,3,2
2020-04-01,4,3,-1
2020-04-02,3,3,0
2020-04-03,3,7,4
2020-04-04,10,12,2
2020-04-05,15,14,-1
2020-04-06,15,19,4
2020-04-07,22,23,1
2020-04-08,26,30,4
2020-04-09,35,40,5
2020-04-10,47,50,3
2020-04-11,57,53,-4
2020-04-12,55,62,7
2020-04-13,68,71,3
2020-04-14,78,90,12
2020-04-15,104,106,2
2020-04-16,118,124,6
2020-04-17,137,145,8
2020-04-18,161,161,+
2020-04-19,173,182,9
2020-04-20,198,185,-13
2020-04-21,187,193,6
2020-04-22,199,207,8
2020-04-23,218,234,16
2020-04-24,255,255,+
2020-04-25,271,287,16
2020-04-26,311,304,-7
2020-04-27,317,320,3
2020-04-28,333,351,18
2020-04-29,375,380,5
2020-04-30,402,425,23
2020-05-01,460,476,16
2020-05-02,515,501,-14
2020-05-03,521,548,27
2020-05-04,585,584,-1
2020-05-05,612,649,37
2020-05-06,699,751,52
2020-05-07,830,806,-24
2020-05-08,849,874,25
2020-05-09,927,962,35
2020-05-10,1031,1004,-27
2020-05-11,1038,1035,-3
2020-05-12,1061,1098,37
2020-05-13,1148,1160,12
2020-05-14,1210,1235,25
2020-05-15,1295,1331,36
2020-05-16,1407,1375,-32
2020-05-17,1412,1413,1
2020-05-18,1445,1433,-12
2020-05-19,1452,1491,39
2020-05-20,1539,1561,22
2020-05-21,1618,1620,2
2020-05-22,1669,1669,+
2020-05-23,1710,1744,34
2020-05-24,1805,1758,-47
2020-05-25,1773,1781,8
2020-05-26,1803,1852,49
2020-05-27,1910,1891,-19
2020-05-28,1925,1964,39
2020-05-29,2024,2011,-13
2020-05-30,2052,2047,-5
2020-05-31,2080,2052,-28
2020-06-01,2061,2071,10
2020-06-02,2091,2102,11
2020-06-03,2131,2138,7
2020-06-04,2171,2183,12
2020-06-05,2223,2199,-24
2020-06-06,2217,2232,15
2020-06-07,2263,2250,-13
2020-06-08,2270,2271,1
2020-06-09,2293,2315,22
2020-06-10,2354,2363,9
2020-06-11,2406,2400,-6
2020-06-12,2434,2429,-5
2020-06-13,2457,2465,8
2020-06-14,2499,2492,-7
2020-06-15,2519,2512,-7
2020-06-16,2534,2549,15
2020-06-17,2584,2579,-5
2020-06-18,2609,2605,-4
2020-06-19,2632,2624,-8
2020-06-20,2645,2650,5
2020-06-21,2677,2657,-20
2020-06-22,2705.05,2671,-34.0487
2020-06-23,2733.97,2686,-47.9699
2020-06-24,2763.63,2710,-53.6329
2020-06-25,2793.94,2731,-62.9413
2020-06-26,2824.82,2739,-85.8238
2020-06-27,2856.23,2772,-84.2284
2020-06-28,2888.12,2780,-108.117
2020-06-29,2920.46,2792,-128.463
2020-06-30,2953.25,2823,-130.246
2020-07-01,2986.45,2843,-143.454
2020-07-02,3020.08,2862,-158.077
2020-07-03,3054.11,2887,-167.111
2020-07-04,3088.55,2918,-170.551
2020-07-05,3123.4,2929,-194.397
2020-07-06,3158.65,2938,-220.65
2020-07-07,3194.31,1.9812e-321,-3194.31
