Data,Saida_Estimada,Saida,Erro
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,1,1
2020-04-03,1,4,3
2020-04-04,4,5,1
2020-04-05,5,6,1
2020-04-06,6,6,0
2020-04-07,6,6,0
2020-04-08,6,6,0
2020-04-09,6,6,0
2020-04-10,6,7,1
2020-04-11,7,9,2
2020-04-12,9,9,0
2020-04-13,9,14,5
2020-04-14,14,17,3
2020-04-15,17,18,1
2020-04-16,18,22,4
2020-04-17,23,25,2
2020-04-18,26,28,2
2020-04-19,29,30,1
2020-04-20,31,33,2
2020-04-21,34,34,+
2020-04-22,35,34,-1
2020-04-23,35,42,7
2020-04-24,44,42,-2
2020-04-25,44,47,3
2020-04-26,49,51,2
2020-04-27,53,57,4
2020-04-28,59,64,5
2020-04-29,67,76,9
2020-04-30,79,83,4
2020-05-01,87,96,9
2020-05-02,101,102,1
2020-05-03,107,114,7
2020-05-04,119,122,3
2020-05-05,128,133,5
2020-05-06,139,145,6
2020-05-07,152,155,3
2020-05-08,163,165,2
2020-05-09,173,172,-1
2020-05-10,180,181,1
2020-05-11,190,196,6
2020-05-12,206,212,6
2020-05-13,219.054,233,13.9464
2020-05-14,232.789,249,16.2108
2020-05-15,247.242,260,12.7575
2020-05-16,262.451,271,8.54897
2020-05-17,278.454,285,6.54576
2020-05-18,295.294,302,6.70637
2020-05-19,313.013,325,11.9871
2020-05-20,331.658,341,9.34196
2020-05-21,351.277,363,11.7226
2020-05-22,371.922,397,25.0781
2020-05-23,393.645,417,23.3549
2020-05-24,416.503,446,29.4966
2020-05-25,440.556,465,24.4439
2020-05-26,465.866,487,21.1344
2020-05-27,492.497,511,18.5025
2020-05-28,520.521,538,17.4791
