Data,Saida_Estimada,Saida,Erro
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,1,0,1
2020-04-02,1,1,0
2020-04-03,1,1,0
2020-04-04,2,1,1
2020-04-05,4,2,2
2020-04-06,4,4,0
2020-04-07,4,4,0
2020-04-08,4,4,0
2020-04-09,7,4,3
2020-04-10,11,7,4
2020-04-11,11,11,0
2020-04-12,13,11,2
2020-04-13,13,13,0
2020-04-14,16,13,3
2020-04-15,21,16,5
2020-04-16,24,21,3
2020-04-17,26,24,2
2020-04-18,26,27,-1
2020-04-19,29,27,2
2020-04-20,32,30,2
2020-04-21,33,33,0
2020-04-22,39,34,5
2020-04-23,40,40,0
2020-04-24,44,41,3
2020-04-25,46,45,1
2020-04-26,49,47,2
2020-04-27,50,51,-1
2020-04-28,53,52,1
2020-04-29,58,55,3
2020-04-30,62,60,2
2020-05-01,67,64,3
2020-05-02,74,69,5
2020-05-03,76,77,-1
2020-05-04,79,79,0
2020-05-05,85,82,3
2020-05-06,92,88,4
2020-05-07,101,95,6
2020-05-08,114,105,9
2020-05-09,124,118,6
2020-05-10,135,129,6
2020-05-11,139,140,-1
2020-05-12,154,144,10
2020-05-13,157,160,-3
2020-05-14,160,163,-3
2020-05-15,170,166,4
2020-05-16,183,177,6
2020-05-17,194,190,4
2020-05-18,207,201,6
2020-05-19,219,215,4
2020-05-20,230,228,2
2020-05-21,245,239,6
2020-05-22,248,255,-7
2020-05-23,258,258,0
2020-05-24,272,268,4
2020-05-25,279,283,-4
2020-05-26,286,290,-4
2020-05-27,0,296,0
2020-05-28,0,302,0
2020-05-29,0,309,0
2020-05-30,0,316,0
2020-05-31,0,324,0
2020-06-01,0,332,0
2020-06-02,0,340,0
