Data,Saida_Estimada,Saida
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
'2020-03-25',0,+
'2020-03-26',0,+
'2020-03-27',0,+
'2020-03-28',0,+
'2020-03-29',0,+
'2020-03-30',0,+
'2020-03-31',0,+
'2020-04-01',0,+
'2020-04-02',1,+
'2020-04-03',1,+
'2020-04-04',1,+
'2020-04-05',2,+
'2020-04-06',4,+
'2020-04-07',4,+
'2020-04-08',4,+
'2020-04-09',4,+
'2020-04-10',7,+
'2020-04-11',12,+
'2020-04-12',11,+
'2020-04-13',13,+
'2020-04-14',13,+
'2020-04-15',17,+
'2020-04-16',22,+
'2020-04-17',25,+
'2020-04-18',27,+
'2020-04-19',27,+
'2020-04-20',30,+
'2020-04-21',34,+
'2020-04-22',35,+
'2020-04-23',41,+
'2020-04-24',42,+
'2020-04-25',46,+
'2020-04-26',48,+
'2020-04-27',52,+
'2020-04-28',53,+
'2020-04-29',56,+
'2020-04-30',61,+
'2020-05-01',66,+
'2020-05-02',71,+
'2020-05-03',78,+
'2020-05-04',80,+
'2020-05-05',83,+
'2020-05-06',90,+
'2020-05-07',97,+
'2020-05-08',107,+
'2020-05-09',121,+
'2020-05-10',132,+
'2020-05-11',143,+
'2020-05-12',147,+
'2020-05-13',163,+
'2020-05-14',166,+
'2020-05-15',169,+
'2020-05-16',180,+
'2020-05-17',194,+
'2020-05-18',206,+
'2020-05-19',219,+
'2020-05-20',232,+
'2020-05-21',244,+
'2020-05-22',260,+
'2020-05-23',262,+
'2020-05-24',273,+
'2020-05-25',289,+
'2020-05-26',307,+
'2020-05-27',327,+
'2020-05-28',347,+
'2020-05-29',369,+
'2020-05-30',392,+
'2020-05-31',417,+
