Data,Saida_Estimada,Saida,Erro
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,1,1
2020-04-11,1,1,0
2020-04-12,1,1,0
2020-04-13,1,1,0
2020-04-14,1,1,0
2020-04-15,1,1,0
2020-04-16,1,1,0
2020-04-17,1,1,0
2020-04-18,1,1,0
2020-04-19,1,1,0
2020-04-20,1,2,1
2020-04-21,2,2,0
2020-04-22,2,2,0
2020-04-23,2,2,0
2020-04-24,2,3,1
2020-04-25,3,3,0
2020-04-26,3,3,0
2020-04-27,3,3,0
2020-04-28,3,3,0
2020-04-29,3,3,0
2020-04-30,3,3,0
2020-05-01,3,4,1
2020-05-02,4,5,1
2020-05-03,5,6,1
2020-05-04,6,7,1
2020-05-05,7,7,0
2020-05-06,7,7,0
2020-05-07,7,7,0
2020-05-08,7,7,+
2020-05-09,7,8,1
2020-05-10,8,8,+
2020-05-11,8,8,+
2020-05-12,8,10,2
2020-05-13,10,10,+
2020-05-14,10.7578,11,0.242195
2020-05-15,11.5505,12,0.449502
2020-05-16,12.3797,12,-0.379686
2020-05-17,13.247,12,-1.24705
2020-05-18,14.1543,13,-1.15434
2020-05-19,15.1034,16,0.896592
2020-05-20,16.0962,16,-0.0961664
2020-05-21,17.1346,19,1.86537
2020-05-22,18.2209,20,1.7791
2020-05-23,19.3572,21,1.64281
2020-05-24,20.5458,21,0.454215
2020-05-25,21.7891,21,-0.789103
2020-05-26,23.0897,23,-0.0896623
2020-05-27,24.4501,26,1.5499
2020-05-28,25.8732,27,1.12684
2020-05-29,27.3617,66,38.6383
