Data,Saida_Estimada,Saida,Erro
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,1,1
2020-03-26,1,3,2
2020-03-27,4,4,0
2020-03-28,4,5,1
2020-03-29,5,5,0
2020-03-30,5,6,1
2020-03-31,6,6,0
2020-04-01,6,8,2
2020-04-02,9,9,0
2020-04-03,9,10,1
2020-04-04,10,14,4
2020-04-05,17,21,4
2020-04-06,26,30,4
2020-04-07,37,34,-3
2020-04-08,37,46,9
2020-04-09,55,56,1
2020-04-10,63,65,2
2020-04-11,72,72,0
2020-04-12,77,85,8
2020-04-13,95,102,7
2020-04-14,115,115,0
2020-04-15,125,143,18
2020-04-16,165,160,-5
2020-04-17,174,186,12
2020-04-18,207,205,-2
2020-04-19,220,216,-4
2020-04-20,225,234,9
2020-04-21,249,260,11
2020-04-22,281,282,1
2020-04-23,300,312,12
2020-04-24,337,352,15
2020-04-25,384,381,-3
2020-04-26,405,415,10
2020-04-27,443,450,7
2020-04-28,479,508,29
2020-04-29,555,538,-17
2020-04-30,564,565,1
2020-05-01,589,603,14
2020-05-02,636,628,-8
2020-05-03,651,652,1
2020-05-04,675,691,16
2020-05-05,725,749,24
2020-05-06,798,803,5
2020-05-07,849,845,-4
2020-05-08,883,927,44
2020-05-09,996,972,-24
2020-05-10,1013,1047,34
2020-05-11,1111,1087,-24
2020-05-12,1125,1157,32
2020-05-13,1218,1224,6
2020-05-14,1283,1298,15
2020-05-15,1363,1381,18
2020-05-16,1454,1461,7
2020-05-17,1532,1516,-16
2020-05-18,1569,1640,71
2020-05-19,1746,1741,-5
2020-05-20,1830,1834,4
2020-05-21,1918,1925,7
2020-05-22,2008,2057,49
2020-05-23,2172,2144,-28
2020-05-24,2226,2200,-26
2020-05-25,2304.87,2248,-56.8713
2020-05-26,2381.97,2328,-53.966
2020-05-27,2458.3,2468,9.70497
2020-05-28,2534.62,2566,31.3816
2020-05-29,2611.51,2669,57.488
2020-05-30,2689.42,2740,50.5839
2020-05-31,2768.67,2807,38.328
2020-06-01,2849.55,2875,25.4515
2020-06-02,2932.26,2933,0.7387
2020-06-03,3016.99,3012,-4.98763
2020-06-04,3103.88,3134,30.1231
2020-06-05,3193.06,3205,11.9413
2020-06-06,3284.65,3270,-14.6483
2020-06-07,3378.75,3305,-73.7512
2020-06-08,3475.47,3350,-125.466
2020-06-09,3574.89,1.90215e-321,-3574.89
