Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,2,2
2020-03-20,3,2,-1
2020-03-21,2,3,1
2020-03-22,3,3,0
2020-03-23,3,4,1
2020-03-24,4,6,2
2020-03-25,7,6,-1
2020-03-26,6,9,3
2020-03-27,10,10,0
2020-03-28,10,13,3
2020-03-29,14,17,3
2020-03-30,19,18,-1
2020-03-31,18,23,5
2020-04-01,26,28,2
2020-04-02,31,41,10
2020-04-03,49,47,-2
2020-04-04,50,58,8
2020-04-05,65,64,-1
2020-04-06,68,71,3
2020-04-07,75,89,14
2020-04-08,100,106,6
2020-04-09,116,122,6
2020-04-10,132,147,15
2020-04-11,163,155,-8
2020-04-12,160,170,10
2020-04-13,180,188,8
2020-04-14,200,224,24
2020-04-15,247,265,18
2020-04-16,291,300,9
2020-04-17,323,341,18
2020-04-18,367,387,20
2020-04-19,417,402,-15
2020-04-20,413,422,9
2020-04-21,436,461,25
2020-04-22,487,490,3
2020-04-23,510,530,20
2020-04-24,557,570,13
2020-04-25,597,615,18
2020-04-26,645,645,+
2020-04-27,666,677,11
2020-04-28,700,738,38
2020-04-29,779,794,15
2020-04-30,832,854,22
2020-05-01,895,921,26
2020-05-02,967,971,4
2020-05-03,1006,1019,13
2020-05-04,1053,1065,12
2020-05-05,1098,1123,25
2020-05-06,1164,1205,41
2020-05-07,1261,1394,133
2020-05-08,1517,1503,-14
2020-05-09,1577,1653,76
2020-05-10,1753,1714,-39
2020-05-11,1760,1770,10
2020-05-12,1813,1928,115
2020-05-13,2035,2050,15
2020-05-14,2135,2247,112
2020-05-15,2379,2438,59
2020-05-16,2568,2614,46
2020-05-17,2735,2715,-20
2020-05-18,2791,2852,61
2020-05-19,2951,3079,128
2020-05-20,3234,3237,3
2020-05-21,3351,3412,61
2020-05-22,3537,3657,120
2020-05-23,3826,3905,79
2020-05-24,4078,3993,-85
2020-05-25,4068,4105,37
2020-05-26,4195,4361,166
2020-05-27,4541,4605,64
2020-05-28,4779,4856,77
2020-05-29,5036,5079,43
2020-05-30,5243,5277,34
2020-05-31,5426,5344,-82
2020-06-01,5413,5462,49
2020-06-02,5563,5686,123
2020-06-03,5853,6010,157
2020-06-04,6240,6327,87
2020-06-05,6555,6473,-82
2020-06-06,6597,6639,42
2020-06-07,6776,6707,-69
2020-06-08,6784,6781,-3
2020-06-09,6862,6928,66
2020-06-10,7055,7138,83
2020-06-11,7305,7363,58
2020-06-12,7540,7417,-123
2020-06-13,7489,7592,103
2020-06-14,7740,7672,-68
2020-06-15,7762,7728,-34
2020-06-16,7803,7967,164
2020-06-17,8156,8138,-18
2020-06-18,8286,8412,126
2020-06-19,8625,8595,-30
2020-06-20,8753,8824,71
2020-06-21,9011,8875,-136
2020-06-22,8953,8933,-20
2020-06-23,9016,9153,137
2020-06-24,9337,9295,-42
2020-06-25,9431,9450,19
2020-06-26,9595,9587,-8
2020-06-27,9722,9789,67
2020-06-28,9965,9819,-146
2020-06-29,9890,9848,-42
2020-06-30,9918,10080,162
2020-07-01,10276,10198,-78
2020-07-02,10325,10332,7
2020-07-03,10469,10500,31
2020-07-04,10659,10624,-35
2020-07-05,10757,10667,-90
2020-07-06,10750,10698,-52
2020-07-07,10858.6,10881,22.3944
2020-07-08,10983.5,10970,-13.4979
2020-07-09,11119,11115,-4.04936
2020-07-10,11261.9,11280,18.1344
2020-07-11,11409.9,11406,-3.90385
2020-07-12,11561.9,11415,-146.939
2020-07-13,11717.2,11474,-243.243
2020-07-14,11875.4,11624,-251.383
2020-07-15,12036.1,11757,-279.113
2020-07-16,12199.3,11849,-350.294
2020-07-17,12364.9,11919,-445.853
2020-07-18,12532.8,11919,-613.761
2020-07-19,12703,12114,-589.009
2020-07-20,12875.6,12161,-714.607
2020-07-21,13050.6,12293,-757.572
2020-07-22,13227.9,1.00132e-307,-13227.9
