Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,1,1
2020-03-30,0,1,1
2020-03-31,1,1,0
2020-04-01,1,2,1
2020-04-02,1,2,1
2020-04-03,2,4,2
2020-04-04,3,5,2
2020-04-05,5,7,2
2020-04-06,6,7,1
2020-04-07,7,8,1
2020-04-08,8,11,3
2020-04-09,10,11,1
2020-04-10,11,11,+
2020-04-11,11,13,2
2020-04-12,13,15,2
2020-04-13,15,17,2
2020-04-14,17,18,1
2020-04-15,18,19,1
2020-04-16,20,20,+
2020-04-17,21,23,2
2020-04-18,23,24,1
2020-04-19,25,25,+
2020-04-20,26,27,1
2020-04-21,28,28,+
2020-04-22,29,29,+
2020-04-23,30,34,4
2020-04-24,34,38,4
2020-04-25,39,40,1
2020-04-26,42,44,2
2020-04-27,45,45,+
2020-04-28,47,48,1
2020-04-29,50,53,3
2020-04-30,55,56,1
2020-05-01,59,56,-3
2020-05-02,59,59,+
2020-05-03,62,61,-1
2020-05-04,64,62,-2
2020-05-05,66,68,2
2020-05-06,71,72,1
2020-05-07,75,76,1
2020-05-08,80,81,1
2020-05-09,85,87,2
2020-05-10,91,88,-3
2020-05-11,93,92,-1
2020-05-12,97,93,-4
2020-05-13,99,105,6
2020-05-14,108,117,9
2020-05-15,121,122,1
2020-05-16,129,136,7
2020-05-17,141,139,-2
2020-05-18,147,146,-1
2020-05-19,154,160,6
2020-05-20,167,170,3
2020-05-21,179,178,-1
2020-05-22,188,181,-7
2020-05-23,192,184,-8
2020-05-24,196,200,4
2020-05-25,209,209,+
2020-05-26,221,220,-1
2020-05-27,232,242,10
2020-05-28,252,254,2
2020-05-29,268,268,+
2020-05-30,282,305,23
2020-05-31,315,305,-10
2020-06-01,326,323,-3
2020-06-02,340,341,1
2020-06-03,359,367,8
2020-06-04,379.043,378,-1.04295
2020-06-05,399.913,387,-12.9131
2020-06-06,422.01,410,-12.01
2020-06-07,445.307,424,-21.3072
2020-06-08,469.896,431,-38.896
2020-06-09,495.841,459,-36.8411
2020-06-10,523.219,487,-36.2192
2020-06-11,552.109,496,-56.1088
2020-06-12,582.594,514,-68.5936
2020-06-13,614.762,533,-81.7616
2020-06-14,648.706,534,-114.706
2020-06-15,684.524,553,-131.524
2020-06-16,722.32,585,-137.32
2020-06-17,762.203,585,-177.203
2020-06-18,804.289,655,-149.289
2020-06-19,848.697,4.11557e-321,-848.697
