Data,Saida_Estimada,Saida,Erro
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,1,1
2020-04-05,0,1,1
2020-04-06,1,1,0
2020-04-07,1,1,0
2020-04-08,1,1,0
2020-04-09,1,1,0
2020-04-10,1,3,2
2020-04-11,2,3,1
2020-04-12,3,3,0
2020-04-13,3,3,0
2020-04-14,3,3,0
2020-04-15,3,3,0
2020-04-16,3,3,0
2020-04-17,3,3,0
2020-04-18,3,3,0
2020-04-19,3,3,0
2020-04-20,3,3,0
2020-04-21,3,3,0
2020-04-22,3,3,0
2020-04-23,3,3,0
2020-04-24,3,3,0
2020-04-25,3,3,0
2020-04-26,3,4,1
2020-04-27,3,4,1
2020-04-28,4,6,2
2020-04-29,5,6,1
2020-04-30,6,7,1
2020-05-01,7,8,1
2020-05-02,8,9,1
2020-05-03,9,11,2
2020-05-04,11,11,+
2020-05-05,11,11,+
2020-05-06,11,13,2
2020-05-07,13,14,1
2020-05-08,14,16,2
2020-05-09,16,18,2
2020-05-10,18,21,3
2020-05-11,21,24,3
2020-05-12,24,27,3
2020-05-13,25.3953,29,3.60467
2020-05-14,28.1062,37,8.89378
2020-05-15,30.4844,40,9.51556
2020-05-16,33.2118,49,15.7882
2020-05-17,36.0245,51,14.9755
2020-05-18,39.0437,60,20.9563
2020-05-19,42.2349,61,18.7651
2020-05-20,45.628,64,18.372
2020-05-21,49.2276,72,22.7724
2020-05-22,53.0495,81,27.9505
2020-05-23,57.1061,81,23.8939
2020-05-24,61.4124,84,22.5876
2020-05-25,65.9835,86,20.0165
2020-05-26,70.8357,102,31.1643
2020-05-27,75.9865,102,26.0135
2020-05-28,81.454,102,20.546
