Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,4,4,0
2020-03-29,4,4,0
2020-03-30,5,5,0
2020-03-31,5,5,0
2020-04-01,7,7,0
2020-04-02,9,9,0
2020-04-03,10,10,0
2020-04-04,11,11,0
2020-04-05,14,14,0
2020-04-06,14,14,0
2020-04-07,14,14,0
2020-04-08,15,15,0
2020-04-09,15,15,0
2020-04-10,15,17,2
2020-04-11,17,19,2
2020-04-12,19,20,1
2020-04-13,20,20,0
2020-04-14,20,22,2
2020-04-15,22,24,2
2020-04-16,24,27,3
2020-04-17,27,36,9
2020-04-18,35,39,4
2020-04-19,39,40,1
2020-04-20,41,41,0
2020-04-21,42,43,1
2020-04-22,44,47,3
2020-04-23,48,48,0
2020-04-24,49,50,1
2020-04-25,51,51,0
2020-04-26,52,54,2
2020-04-27,55,56,1
2020-04-28,57,60,3
2020-04-29,61,64,3
2020-04-30,65,65,0
2020-05-01,67,68,1
2020-05-02,69,68,-1
2020-05-03,70,68,-2
2020-05-04,70,68,-2
2020-05-05,70,72,2
2020-05-06,73,75,2
2020-05-07,77,82,5
2020-05-08,83,84,1
2020-05-09,86,85,-1
2020-05-10,87,89,2
2020-05-11,91,95,4
2020-05-12,97,100,3
2020-05-13,102,110,8
2020-05-14,112,113,1
2020-05-15,116,121,5
2020-05-16,124,132,8
2020-05-17,135,135,+
2020-05-18,139,137,-2
2020-05-19,141,153,12
2020-05-20,156,157,1
2020-05-21,162,163,1
2020-05-22,167,166,-1
2020-05-23,171,175,4
2020-05-24,179,187,8
2020-05-25,191,190,-1
2020-05-26,196,205,9
2020-05-27,210,230,20
2020-05-28,234,251,17
2020-05-29,256,264,8
2020-05-30,271,283,12
2020-05-31,290,304,14
2020-06-01,311,319,8
2020-06-02,328,331,3
2020-06-03,341,361,20
2020-06-04,369,395,26
2020-06-05,404,443,39
2020-06-06,451,487,36
2020-06-07,497,517,20
2020-06-08,531,522,-9
2020-06-09,539,506,-33
2020-06-10,526,581,55
2020-06-11,590,620,30
2020-06-12,636,675,39
2020-06-13,691,720,29
2020-06-14,739,784,45
2020-06-15,802,801,-1
2020-06-16,827,802,-25
2020-06-17,830,815,-15
2020-06-18,842,884,42
2020-06-19,905,900,-5
2020-06-20,929,915,-14
2020-06-21,945,939,-6
2020-06-22,968,990,22
2020-06-23,1017,1067,50
2020-06-24,1093,1080,-13
2020-06-25,1116,1098,-18
2020-06-26,1134,1130,-4
2020-06-27,1165,1024,-141
2020-06-28,1075,1032,-43
2020-06-29,1067,1057,-10
2020-06-30,1090,1145,55
2020-07-01,1172,1211,39
2020-07-02,1244,1286,42
2020-07-03,1320,1334,14
2020-07-04,1374,1395,21
2020-07-05,1435,1417,-18
2020-07-06,1464,1477,13
2020-07-07,1520,1565,45
2020-07-08,1607,1590,-17
2020-07-09,1642,1701,59
2020-07-10,1745,1826,81
2020-07-11,1872,2377,505
2020-07-12,2381,2482,101
2020-07-13,2555,2527,-28
2020-07-14,2610,2579,-31
2020-07-15,2663,2625,-38
2020-07-16,2711,2695,-16
2020-07-17,2780,2804,24
2020-07-18,2887,2816,-71
2020-07-19,2914,2821,-93
2020-07-20,2920,3071,151
2020-07-21,3144,3108,-36
2020-07-22,3213,3149,-64
2020-07-23,3255,3179,-76
2020-07-24,3287,3311,24
2020-07-25,3409,3513,104
2020-07-26,3608,3572,-36
2020-07-27,3690,3572,-118
2020-07-28,3699,3797,98
2020-07-29,3899,3862,-37
2020-07-30,3989,4276,287
2020-07-31,4368,4319,-49
2020-08-01,4466,4352,-114
2020-08-02,4501,5059,558
2020-08-03,5136,5097,-39
2020-08-04,5272,5185,-87
2020-08-05,5434.16,5234,-200.158
2020-08-06,5603.94,5251,-352.941
2020-08-07,5778.66,5312,-466.659
2020-08-08,5958.88,5427,-531.875
2020-08-09,6144.71,5526,-618.705
2020-08-10,6336.33,5593,-743.331
2020-08-11,6533.93,5631,-902.933
2020-08-12,6737.7,5670,-1067.7
2020-08-13,6947.82,6495,-452.815
2020-08-14,7164.49,6608,-556.486
2020-08-15,7387.91,6702,-685.915
2020-08-16,7618.31,6862,-756.311
2020-08-17,7855.89,6929,-926.891
2020-08-18,8100.88,7389,-711.881
2020-08-19,8353.51,7521,-832.512
2020-08-20,8614.02,1.00129e-307,-8614.02
