Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,+,+,+
2020-05-08,+,+,+
2020-05-09,+,+,+
2020-05-10,+,+,+
2020-05-11,+,+,+
2020-05-12,+,+,+
2020-05-13,+,+,+
2020-05-14,+,+,+
2020-05-15,+,+,+
2020-05-16,+,+,+
2020-05-17,+,+,+
2020-05-18,+,+,+
2020-05-19,+,+,+
2020-05-20,+,+,+
2020-05-21,+,+,+
2020-05-22,+,+,+
2020-05-23,+,+,+
2020-05-24,+,+,+
2020-05-25,+,+,+
2020-05-26,+,+,+
2020-05-27,+,+,+
2020-05-28,+,+,+
2020-05-29,+,+,+
2020-05-30,+,+,+
2020-05-31,+,+,+
2020-06-01,+,1,1
2020-06-02,+,1,1
2020-06-03,1,1,+
2020-06-04,1,1,+
2020-06-05,1,2,1
2020-06-06,1,2,1
2020-06-07,2,2,+
2020-06-08,2,2,+
2020-06-09,2,2,+
2020-06-10,2,2,+
2020-06-11,2,2,+
2020-06-12,2,4,2
2020-06-13,3,4,1
2020-06-14,4,4,+
2020-06-15,4,4,+
2020-06-16,4,4,+
2020-06-17,4,4,+
2020-06-18,4,4,+
2020-06-19,4,4,+
2020-06-20,4.52024,4,-0.520244
2020-06-21,4.94818,5,0.0518215
2020-06-22,5.46016,6,0.539845
2020-06-23,6.01288,6,-0.0128777
2020-06-24,6.62496,8,1.37504
2020-06-25,7.29839,9,1.70161
2020-06-26,8.04055,9,0.959448
2020-06-27,8.8581,9,0.141896
2020-06-28,9.7588,9,-0.758803
2020-06-29,10.7511,9,-1.75108
2020-06-30,11.8443,9,-2.84426
2020-07-01,13.0486,11,-2.04858
2020-07-02,14.3754,12,-2.37537
2020-07-03,15.8371,12,-3.83706
2020-07-04,17.4474,17,-0.447383
2020-07-05,19.2214,4.03158e-321,-19.2214
