Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,1,1,0
2020-03-29,1,1,0
2020-03-30,2,2,0
2020-03-31,2,2,0
2020-04-01,2,2,0
2020-04-02,2,2,0
2020-04-03,2,2,0
2020-04-04,4,4,0
2020-04-05,5,5,0
2020-04-06,5,5,0
2020-04-07,5,6,1
2020-04-08,6,6,0
2020-04-09,6,7,1
2020-04-10,7,8,1
2020-04-11,8,8,0
2020-04-12,8,9,1
2020-04-13,9,12,3
2020-04-14,12,13,1
2020-04-15,13,16,3
2020-04-16,16,16,0
2020-04-17,16,17,1
2020-04-18,17,17,0
2020-04-19,17,17,0
2020-04-20,17,17,0
2020-04-21,17,17,0
2020-04-22,17,18,1
2020-04-23,18,21,3
2020-04-24,21,21,0
2020-04-25,21,22,1
2020-04-26,22,22,0
2020-04-27,22,22,0
2020-04-28,22,51,29
2020-04-29,50,51,1
2020-04-30,52,61,9
2020-05-01,61,62,1
2020-05-02,63,68,5
2020-05-03,69,72,3
2020-05-04,73,76,3
2020-05-05,77,78,1
2020-05-06,79,78,-1
2020-05-07,79,93,14
2020-05-08,94,139,45
2020-05-09,139,152,13
2020-05-10,154,191,37
2020-05-11,193,200,7
2020-05-12,203,210,7
2020-05-13,213,210,-3
2020-05-14,214,215,1
2020-05-15,219,217,-2
2020-05-16,221,452,231
2020-05-17,450,452,2
2020-05-18,460,513,53
2020-05-19,520,514,-6
2020-05-20,524,515,-9
2020-05-21,525,516,-9
2020-05-22,526,516,-10
2020-05-23,526,516,-10
2020-05-24,526,778,252
2020-05-25,781,796,15
2020-05-26,811,781,-30
2020-05-27,797,830,33
2020-05-28,844,842,-2
2020-05-29,858,877,19
2020-05-30,892,1087,195
2020-05-31,1099,1090,-9
2020-06-01,1111,1094,-17
2020-06-02,1115,1288,173
2020-06-03,1305,1293,-12
2020-06-04,1318,1316,-2
2020-06-05,1341,1331,-10
2020-06-06,1356,1359,3
2020-06-07,1384,1467,83
2020-06-08,1491,1468,-23
2020-06-09,1497,1602,105
2020-06-10,1627,1606,-21
2020-06-11,1637,1663,26
2020-06-12,1693,1742,49
2020-06-13,1773,1792,19
2020-06-14,1825,1803,-22
2020-06-15,1838,1822,-16
2020-06-16,1857,1914,57
2020-06-17,1947,2048,101
2020-06-18,2082,2058,-24
2020-06-19,2098,2234,136
2020-06-20,2270,2271,1
2020-06-21,2314,2278,-36
2020-06-22,2322,2302,-20
2020-06-23,2346,2385,39
2020-06-24,2428,2435,7
2020-06-25,2481,2508,27
2020-06-26,2554,2661,107
2020-06-27,2707,2669,-38
2020-06-28,2721,2803,82
2020-06-29,2852,2807,-45
2020-06-30,2862,2818,-44
2020-07-01,2873,2870,-3
2020-07-02,2924,2912,-12
2020-07-03,2967,2975,8
2020-07-04,3023.49,2985,-38.4905
2020-07-05,3081.04,2991,-90.0372
2020-07-06,3139.68,2995,-144.68
2020-07-07,3199.44,3040,-159.439
2020-07-08,3260.34,3088,-172.335
2020-07-09,3322.39,3135,-187.39
2020-07-10,3385.63,3142,-243.627
2020-07-11,3450.07,3143,-307.067
2020-07-12,3515.73,3143,-372.734
2020-07-13,3582.65,3206,-376.65
2020-07-14,3650.84,3226,-424.84
2020-07-15,3720.33,3305,-415.328
2020-07-16,3791.14,3307,-484.139
2020-07-17,3863.3,3293,-570.297
2020-07-18,3936.83,3293,-643.829
2020-07-19,4011.76,8.06611e-308,-4011.76
