Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,494,2020-03-28
2020-03-29,527,2020-03-29
2020-03-30,570,2020-03-30
2020-03-31,603,2020-03-31
2020-04-01,717,2020-04-01
2020-04-02,828,2020-04-02
2020-04-03,840,2020-04-03
2020-04-04,956,2020-04-04
2020-04-05,1123,2020-04-05
2020-04-06,1244,2020-04-06
2020-04-07,1249,2020-04-07
2020-04-08,1503,2020-04-08
2020-04-09,1759,2020-04-09
2020-04-10,2000,2020-04-10
2020-04-11,2199,2020-04-11
2020-04-12,2256,2020-04-12
2020-04-13,2464,2020-04-13
2020-04-14,2897,2020-04-14
2020-04-15,2916,2020-04-15
2020-04-16,3213,2020-04-16
2020-04-17,3313,2020-04-17
2020-04-18,3754,2020-04-18
2020-04-19,3810,2020-04-19
2020-04-20,3889,2020-04-20
2020-04-21,4120,2020-04-21
2020-04-22,4602,2020-04-22
2020-04-23,4645,2020-04-23
2020-04-24,5354,2020-04-24
2020-04-25,5203,2020-04-25
2020-04-26,5914,2020-04-26
2020-04-27,5911,2020-04-27
2020-04-28,7065,2020-04-28
2020-04-29,7202,2020-04-29
2020-04-30,7292,2020-04-30
2020-05-01,7775,2020-05-01
2020-05-02,8265,2020-05-02
2020-05-03,8527,2020-05-03
2020-05-04,8988,2020-05-04
2020-05-05,9619,2020-05-05
2020-05-06,10260,2020-05-06
2020-05-07,11194,2020-05-07
2020-05-08,11759,2020-05-08
2020-05-09,12985,2020-05-09
2020-05-10,13991,2020-05-10
2020-05-11,13372,2020-05-11
2020-05-12,14198,2020-05-12
2020-05-13,14490,2020-05-13
2020-05-14,14641,2020-05-14
2020-05-15,15289,2020-05-15
2020-05-16,15779,2020-05-16
2020-05-17,16474,2020-05-17
2020-05-18,17130,2020-05-18
2020-05-19,19868,2020-05-19
2020-05-20,20521,2020-05-20
2020-05-21,23890,2020-05-21
2020-05-22,25159,2020-05-22
2020-05-23,26524,2020-05-23
2020-05-24,27162,2020-05-24
2020-05-25,28619,2020-05-25
2020-05-26,29577,2020-05-26
2020-05-27,30493,2020-05-27
2020-05-28,32472,2020-05-28
2020-05-29,33800,2020-05-29
2020-05-30,35994,2020-05-30
2020-05-31,37840,2020-05-31
2020-06-01,38093,2020-06-01
2020-06-02,39169,2020-06-02
2020-06-03,40773,2020-06-03
2020-06-04,43195,2020-06-04
2020-06-05,43814,2020-06-05
2020-06-06,45791,2020-06-06
2020-06-07,46262,2020-06-07
2020-06-08,47631,2020-06-08
2020-06-09,48445,2020-06-09
2020-06-10,50652,2020-06-10
2020-06-11,51616,2020-06-11
2020-06-12,52711,2020-06-12
2020-06-13,53536,2020-06-13
2020-06-14,54572,2020-06-14
2020-06-15,54780,2020-06-15
2020-06-16,55772,2020-06-16
'2020-06-17',58092,+
'2020-06-18',59906,+
'2020-06-19',61765,+
'2020-06-20',63674,+
'2020-06-21',65639,+
'2020-06-22',67663,+
'2020-06-23',69749,+
'2020-06-24',71898,+
'2020-06-25',74113,+
'2020-06-26',76396,+
'2020-06-27',78750,+
'2020-06-28',81176,+
'2020-06-29',83677,+
'2020-06-30',86255,+
'2020-07-01',88912,+
'2020-07-02',91651,+
