Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,9,9,0
2020-03-29,13,13,0
2020-03-30,13,13,0
2020-03-31,18,18,0
2020-04-01,20,20,0
2020-04-02,32,32,0
2020-04-03,38,38,0
2020-04-04,47,47,0
2020-04-05,51,51,0
2020-04-06,57,57,0
2020-04-07,71,71,0
2020-04-08,71,88,17
2020-04-09,100,98,-2
2020-04-10,105,116,11
2020-04-11,129,123,-6
2020-04-12,128,135,7
2020-04-13,144,145,1
2020-04-14,152,176,24
2020-04-15,198,214,16
2020-04-16,242,244,2
2020-04-17,266,271,5
2020-04-18,291,310,19
2020-04-19,339,314,-25
2020-04-20,317,336,19
2020-04-21,352,370,18
2020-04-22,395,393,-2
2020-04-23,410,418,8
2020-04-24,437,452,15
2020-04-25,477,495,18
2020-04-26,527,515,-12
2020-04-27,530,542,12
2020-04-28,562,600,38
2020-04-29,643,653,10
2020-04-30,693,702,9
2020-05-01,739,756,17
2020-05-02,797,800,3
2020-05-03,833,836,3
2020-05-04,864,880,16
2020-05-05,914,929,15
2020-05-06,966,993,27
2020-05-07,1041,1166,125
2020-05-08,1294,1263,-31
2020-05-09,1336,1393,57
2020-05-10,1490,1433,-57
2020-05-11,1465,1485,20
2020-05-12,1526,1625,99
2020-05-13,1730,1727,-3
2020-05-14,1805,1905,100
2020-05-15,2038,2063,25
2020-05-16,2182,2209,27
2020-05-17,2320,2309,-11
2020-05-18,2387,2436,49
2020-05-19,2534,2630,96
2020-05-20,2777,2769,-8
2020-05-21,2876,2925,49
2020-05-22,3045,3128,83
2020-05-23,3283,3349,66
2020-05-24,3517,3419,-98
2020-05-25,3478,3514,36
2020-05-26,3591,3689,98
2020-05-27,3825,3895,70
2020-05-28,4054,4079,25
2020-05-29,4222,4258,36
2020-05-30,4398,4400,2
2020-05-31,4514,4460,-54
2020-06-01,4515,4567,52
2020-06-02,4656,4751,95
2020-06-03,4896,5014,118
2020-06-04,5217,5263,46
2020-06-05,5456,5369,-87
2020-06-06,5459,5491,32
2020-06-07,5593,5557,-36
2020-06-08,5619,5622,3
2020-06-09,5683,5735,52
2020-06-10,5831,5894,63
2020-06-11,6024,6072,48
2020-06-12,6216,6106,-110
2020-06-13,6146,6250,104
2020-06-14,6370,6333,-37
2020-06-15,6409,6383,-26
2020-06-16,6435,6568,133
2020-06-17,6718,6692,-26
2020-06-18,6799,6895,96
2020-06-19,7059,7055,-4
2020-06-20,7189,7235,46
2020-06-21,7384,7280,-104
2020-06-22,7331,7333,2
2020-06-23,7390,7490,100
2020-06-24,7623,7588,-35
2020-06-25,7678,7713,35
2020-06-26,7823,7826,3
2020-06-27,7928,7968,40
2020-06-28,8091,7995,-96
2020-06-29,8035,8022,-13
2020-06-30,8062,8180,118
2020-07-01,8315,8275,-40
2020-07-02,8365,8371,6
2020-07-03,8462,8492,30
2020-07-04,8601,8581,-20
2020-07-05,8667,8615,-52
2020-07-06,8662,8642,-20
2020-07-07,8684,8790,106
2020-07-08,8919,8844,-75
2020-07-09,8906,8940,34
2020-07-10,9032,9033,1
2020-07-11,9123,9110,-13
2020-07-12,9189,9118,-71
2020-07-13,9147,9166,19
2020-07-14,9224,9262,38
2020-07-15,9355,9356,1
2020-07-16,9448,9417,-31
2020-07-17,9485,9487,2
2020-07-18,9562,9487,-75
2020-07-19,9511,9592,81
2020-07-20,9692,9631,-61
2020-07-21,9684,9715,31
2020-07-22,9801,9832,31
2020-07-23,9942,9884,-58
2020-07-24,9947,9933,-14
2020-07-25,9994,10024,30
2020-07-26,10115,10045,-70
2020-07-27,10207.2,10075,-132.162
2020-07-28,10300.4,10188,-112.403
2020-07-29,10394.7,10307,-87.6696
2020-07-30,10489.9,10391,-98.9223
2020-07-31,10586.1,10449,-137.137
2020-08-01,10683.3,10499,-184.297
2020-08-02,10781.4,10513,-268.395
2020-08-03,10880.4,10535,-345.426
2020-08-04,10980.4,10613,-367.391
2020-08-05,11081.3,10710,-371.291
2020-08-06,11183.1,10769,-414.13
2020-08-07,11285.9,10838,-447.914
2020-08-08,11389.6,10854,-535.648
2020-08-09,11494.3,10864,-630.341
2020-08-10,11600,10876,-723.999
2020-08-11,11706.6,3.31271e-320,-11706.6
