Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,5,2020-03-28
2020-03-29,5,2020-03-29
2020-03-30,5,2020-03-30
2020-03-31,5,2020-03-31
2020-04-01,7,2020-04-01
2020-04-02,7,2020-04-02
2020-04-03,8,2020-04-03
2020-04-04,8,2020-04-04
2020-04-05,8,2020-04-05
2020-04-06,8,2020-04-06
2020-04-07,9,2020-04-07
2020-04-08,9,2020-04-08
2020-04-09,13,2020-04-09
2020-04-10,13,2020-04-10
2020-04-11,14,2020-04-11
2020-04-12,15,2020-04-12
2020-04-13,15,2020-04-13
2020-04-14,16,2020-04-14
2020-04-15,17,2020-04-15
2020-04-16,23,2020-04-16
2020-04-17,34,2020-04-17
2020-04-18,49,2020-04-18
2020-04-19,58,2020-04-19
2020-04-20,60,2020-04-20
2020-04-21,66,2020-04-21
2020-04-22,70,2020-04-22
2020-04-23,88,2020-04-23
2020-04-24,93,2020-04-24
2020-04-25,96,2020-04-25
2020-04-26,117,2020-04-26
2020-04-27,124,2020-04-27
2020-04-28,123,2020-04-28
2020-04-29,140,2020-04-29
2020-04-30,146,2020-04-30
2020-05-01,213,2020-05-01
2020-05-02,211,2020-05-02
2020-05-03,222,2020-05-03
2020-05-04,221,2020-05-04
2020-05-05,224,2020-05-05
2020-05-06,237,2020-05-06
2020-05-07,292,2020-05-07
2020-05-08,316,2020-05-08
2020-05-09,338,2020-05-09
2020-05-10,366,2020-05-10
2020-05-11,367,2020-05-11
2020-05-12,375,2020-05-12
2020-05-13,392,2020-05-13
2020-05-14,431,2020-05-14
2020-05-15,478,2020-05-15
2020-05-16,526,2020-05-16
2020-05-17,578,2020-05-17
2020-05-18,599,2020-05-18
2020-05-19,613,2020-05-19
2020-05-20,664,2020-05-20
2020-05-21,729,2020-05-21
2020-05-22,783,2020-05-22
2020-05-23,851,2020-05-23
2020-05-24,927,2020-05-24
2020-05-25,977,2020-05-25
2020-05-26,985,2020-05-26
2020-05-27,1061,2020-05-27
2020-05-28,1121,2020-05-28
2020-05-29,1245,2020-05-29
2020-05-30,1357,2020-05-30
2020-05-31,1437,2020-05-31
2020-06-01,1459,2020-06-01
2020-06-02,1473,2020-06-02
2020-06-03,1687,2020-06-03
2020-06-04,1809,2020-06-04
2020-06-05,1907,2020-06-05
2020-06-06,2051,2020-06-06
2020-06-07,2163,2020-06-07
2020-06-08,2206,2020-06-08
2020-06-09,2213,2020-06-09
2020-06-10,2378,2020-06-10
2020-06-11,2496,2020-06-11
2020-06-12,2669,2020-06-12
2020-06-13,2766,2020-06-13
2020-06-14,2828,2020-06-14
2020-06-15,2903,2020-06-15
2020-06-16,2916,2020-06-16
2020-06-17,3209,2020-06-17
2020-06-18,3215,2020-06-18
2020-06-19,3259,2020-06-19
2020-06-20,3927,2020-06-20
2020-06-21,4075,2020-06-21
2020-06-22,4119,2020-06-22
2020-06-23,4162,2020-06-23
2020-06-24,4325,2020-06-24
2020-06-25,4530,2020-06-25
2020-06-26,4695,2020-06-26
2020-06-27,4937,2020-06-27
2020-06-28,5107,2020-06-28
2020-06-29,5174,2020-06-29
2020-06-30,5240,2020-06-30
2020-07-01,5386,2020-07-01
2020-07-02,5648,2020-07-02
2020-07-03,5977,2020-07-03
2020-07-04,6191,2020-07-04
2020-07-05,6230,2020-07-05
'2020-07-06',6415,+
'2020-07-07',6653,+
'2020-07-08',6900,+
'2020-07-09',7157,+
'2020-07-10',7423,+
'2020-07-11',7698,+
'2020-07-12',7985,+
'2020-07-13',8281,+
'2020-07-14',8589,+
'2020-07-15',8909,+
'2020-07-16',9240,+
'2020-07-17',9583,+
'2020-07-18',9939,+
'2020-07-19',10309,+
'2020-07-20',10692,+
'2020-07-21',11089,+
