Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,1,1,0
2020-04-05,1,1,0
2020-04-06,1,2,1
2020-04-07,2,6,4
2020-04-08,6,8,2
2020-04-09,8,12,4
2020-04-10,12,13,1
2020-04-11,13,13,0
2020-04-12,13,13,0
2020-04-13,13,13,0
2020-04-14,13,13,0
2020-04-15,13,13,0
2020-04-16,13,14,1
2020-04-17,14,18,4
2020-04-18,19,28,9
2020-04-19,30,28,-2
2020-04-20,28,28,0
2020-04-21,28,29,1
2020-04-22,30,30,0
2020-04-23,31,36,5
2020-04-24,38,37,-1
2020-04-25,38,52,14
2020-04-26,55,53,-2
2020-04-27,55,61,6
2020-04-28,64,65,1
2020-04-29,67,73,6
2020-04-30,76,84,8
2020-05-01,88,88,0
2020-05-02,91,89,-2
2020-05-03,92,89,-3
2020-05-04,92,109,17
2020-05-05,115,122,7
2020-05-06,128,141,13
2020-05-07,148,160,12
2020-05-08,168,173,5
2020-05-09,180,176,-4
2020-05-10,182,187,5
2020-05-11,195,192,-3
2020-05-12,199,195,-4
2020-05-13,202,206,4
2020-05-14,214,225,11
2020-05-15,235,236,1
2020-05-16,245,239,-6
2020-05-17,247,239,-8
2020-05-18,247,239,-8
2020-05-19,247,249,2
2020-05-20,259,286,27
2020-05-21,301,317,16
2020-05-22,332,358,26
2020-05-23,376,379,3
2020-05-24,395,403,8
2020-05-25,420,406,-14
2020-05-26,420,410,-10
2020-05-27,425,419,-6
2020-05-28,435,443,8
2020-05-29,462,457,-5
2020-05-30,475,478,3
2020-05-31,497,484,-13
2020-06-01,501,491,-10
2020-06-02,509,507,-2
2020-06-03,527,531,4
2020-06-04,553,559,6
2020-06-05,582,566,-16
2020-06-06,587,600,13
2020-06-07,625,603,-22
2020-06-08,624,608,-16
2020-06-09,630,639,9
2020-06-10,665,655,-10
2020-06-11,680,682,2
2020-06-12,709,687,-22
2020-06-13,712,698,-14
2020-06-14,724,712,-12
2020-06-15,739,716,-23
2020-06-16,741,756,15
2020-06-17,788,761,-27
2020-06-18,788,762,-26
2020-06-19,789,860,71
2020-06-20,903,884,-19
2020-06-21,918,890,-28
2020-06-22,922,894,-28
2020-06-23,926,922,-4
2020-06-24,958,958,+
2020-06-25,996,1003,7
2020-06-26,1044,1041,-3
2020-06-27,1083,1076,-7
2020-06-28,1118,1102,-16
2020-06-29,1144,1108,-36
2020-06-30,1148,1151,3
2020-07-01,1197,1215,18
2020-07-02,1266,1300,34
2020-07-03,1357,1340,-17
2020-07-04,1392,1341,-51
2020-07-05,1388,1364,-24
2020-07-06,1443.65,1373,-70.651
2020-07-07,1502.47,1418,-84.4664
2020-07-08,1563.8,1533,-30.8017
2020-07-09,1627.66,1574,-53.6573
2020-07-10,1694.12,1672,-22.1225
2020-07-11,1763.3,1696,-67.3021
2020-07-12,1835.31,1704,-131.307
2020-07-13,1910.25,1716,-194.252
2020-07-14,1988.26,1770,-218.257
2020-07-15,2069.45,1841,-228.448
2020-07-16,2153.95,1912,-241.954
2020-07-17,2241.91,1936,-305.911
2020-07-18,2333.46,1953,-380.459
2020-07-19,2428.75,1956,-472.746
2020-07-20,2527.92,1988,-539.924
2020-07-21,2631.15,8.06612e-308,-2631.15
