Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,1,1,0
2020-03-29,1,1,0
2020-03-30,1,1,0
2020-03-31,1,1,0
2020-04-01,1,1,0
2020-04-02,1,1,0
2020-04-03,2,2,0
2020-04-04,2,2,0
2020-04-05,2,2,0
2020-04-06,2,2,0
2020-04-07,2,2,0
2020-04-08,2,2,0
2020-04-09,2,2,0
2020-04-10,2,2,0
2020-04-11,2,2,0
2020-04-12,2,2,0
2020-04-13,2,2,0
2020-04-14,2,2,0
2020-04-15,2,3,1
2020-04-16,3,6,3
2020-04-17,5,7,2
2020-04-18,7,9,2
2020-04-19,9,10,1
2020-04-20,10,10,0
2020-04-21,10,13,3
2020-04-22,13,14,1
2020-04-23,14,14,0
2020-04-24,14,16,2
2020-04-25,16,20,4
2020-04-26,20,20,0
2020-04-27,20,20,0
2020-04-28,20,25,5
2020-04-29,25,27,2
2020-04-30,27,29,2
2020-05-01,29,29,0
2020-05-02,29,29,0
2020-05-03,29,29,0
2020-05-04,29,29,0
2020-05-05,29,30,1
2020-05-06,30,31,1
2020-05-07,31,31,+
2020-05-08,32,33,1
2020-05-09,33,37,4
2020-05-10,37,38,1
2020-05-11,39,38,-1
2020-05-12,39,41,2
2020-05-13,42,46,4
2020-05-14,47,48,1
2020-05-15,49,50,1
2020-05-16,51,50,-1
2020-05-17,51,52,1
2020-05-18,53,52,-1
2020-05-19,53,54,1
2020-05-20,55,57,2
2020-05-21,58,61,3
2020-05-22,62,66,4
2020-05-23,67,69,2
2020-05-24,71,69,-2
2020-05-25,71,69,-2
2020-05-26,71,70,-1
2020-05-27,72,81,9
2020-05-28,82,83,1
2020-05-29,85,87,2
2020-05-30,89,91,2
2020-05-31,93,92,-1
2020-06-01,94,91,-3
2020-06-02,94,102,8
2020-06-03,104,107,3
2020-06-04,110,113,3
2020-06-05,116,117,1
2020-06-06,120,118,-2
2020-06-07,121,119,-2
2020-06-08,122,120,-2
2020-06-09,123,127,4
2020-06-10,130,140,10
2020-06-11,143,143,+
2020-06-12,147,145,-2
2020-06-13,149,145,-4
2020-06-14,149,146,-3
2020-06-15,150,147,-3
2020-06-16,151,149,-2
2020-06-17,153,169,16
2020-06-18,157.801,172,14.1988
2020-06-19,162.7,183,20.3003
2020-06-20,167.754,187,19.2455
2020-06-21,172.966,188,15.0341
2020-06-22,178.339,188,9.66071
2020-06-23,183.88,199,15.1204
2020-06-24,189.592,207,17.408
2020-06-25,195.482,218,22.5181
2020-06-26,201.555,227,25.4453
2020-06-27,207.816,235,27.1838
2020-06-28,214.272,235,20.7277
2020-06-29,220.929,236,15.0711
2020-06-30,227.792,247,19.2077
2020-07-01,234.869,251,16.1311
2020-07-02,242.165,262,19.8347
2020-07-03,249.688,3.95253e-321,-249.688
