Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,81,2020-03-28
2020-03-29,83,2020-03-29
2020-03-30,89,2020-03-30
2020-03-31,104,2020-03-31
2020-04-01,120,2020-04-01
2020-04-02,125,2020-04-02
2020-04-03,147,2020-04-03
2020-04-04,195,2020-04-04
2020-04-05,205,2020-04-05
2020-04-06,230,2020-04-06
2020-04-07,231,2020-04-07
2020-04-08,259,2020-04-08
2020-04-09,280,2020-04-09
2020-04-10,332,2020-04-10
2020-04-11,348,2020-04-11
2020-04-12,378,2020-04-12
2020-04-13,410,2020-04-13
2020-04-14,408,2020-04-14
2020-04-15,413,2020-04-15
2020-04-16,418,2020-04-16
2020-04-17,436,2020-04-17
2020-04-18,458,2020-04-18
2020-04-19,479,2020-04-19
2020-04-20,495,2020-04-20
2020-04-21,506,2020-04-21
2020-04-22,510,2020-04-22
2020-04-23,521,2020-04-23
2020-04-24,530,2020-04-24
2020-04-25,545,2020-04-25
2020-04-26,555,2020-04-26
2020-04-27,559,2020-04-27
2020-04-28,577,2020-04-28
2020-04-29,591,2020-04-29
2020-04-30,606,2020-04-30
2020-05-01,629,2020-05-01
2020-05-02,644,2020-05-02
2020-05-03,663,2020-05-03
2020-05-04,666,2020-05-04
2020-05-05,690,2020-05-05
2020-05-06,697,2020-05-06
2020-05-07,714,2020-05-07
2020-05-08,731,2020-05-08
2020-05-09,754,2020-05-09
2020-05-10,804,2020-05-10
2020-05-11,823,2020-05-11
2020-05-12,826,2020-05-12
2020-05-13,840,2020-05-13
2020-05-14,884,2020-05-14
2020-05-15,908,2020-05-15
2020-05-16,952,2020-05-16
2020-05-17,991,2020-05-17
2020-05-18,1001,2020-05-18
2020-05-19,1026,2020-05-19
2020-05-20,1052,2020-05-20
2020-05-21,1108,2020-05-21
2020-05-22,1177,2020-05-22
2020-05-23,1219,2020-05-23
2020-05-24,1257,2020-05-24
2020-05-25,1303,2020-05-25
2020-05-26,1343,2020-05-26
2020-05-27,1380,2020-05-27
2020-05-28,1436,2020-05-28
2020-05-29,1546,2020-05-29
2020-05-30,1584,2020-05-30
2020-05-31,1633,2020-05-31
2020-06-01,1722,2020-06-01
2020-06-02,1782,2020-06-02
2020-06-03,1836,2020-06-03
2020-06-04,2010,2020-06-04
2020-06-05,2082,2020-06-05
2020-06-06,2290,2020-06-06
2020-06-07,2336,2020-06-07
2020-06-08,2453,2020-06-08
2020-06-09,2479,2020-06-09
2020-06-10,2535,2020-06-10
2020-06-11,2692,2020-06-11
2020-06-12,2940,2020-06-12
2020-06-13,2996,2020-06-13
2020-06-14,3187,2020-06-14
2020-06-15,3286,2020-06-15
2020-06-16,3363,2020-06-16
2020-06-17,3633,2020-06-17
2020-06-18,3714,2020-06-18
2020-06-19,4017,2020-06-19
2020-06-20,4324,2020-06-20
2020-06-21,4511,2020-06-21
2020-06-22,4809,2020-06-22
2020-06-23,5078,2020-06-23
2020-06-24,5323,2020-06-24
2020-06-25,5641,2020-06-25
2020-06-26,5927,2020-06-26
2020-06-27,6168,2020-06-27
2020-06-28,6644,2020-06-28
2020-06-29,6983,2020-06-29
2020-06-30,7345,2020-06-30
2020-07-01,7906,2020-07-01
2020-07-02,8474,2020-07-02
2020-07-03,9342,2020-07-03
2020-07-04,10042,2020-07-04
2020-07-05,11283,2020-07-05
2020-07-06,11736,2020-07-06
2020-07-07,12416,2020-07-07
'2020-07-08',13050,+
'2020-07-09',13872,+
'2020-07-10',14749,+
'2020-07-11',15681,+
'2020-07-12',16672,+
'2020-07-13',17726,+
'2020-07-14',18847,+
'2020-07-15',20039,+
'2020-07-16',21305,+
'2020-07-17',22652,+
'2020-07-18',24084,+
'2020-07-19',25607,+
'2020-07-20',27226,+
'2020-07-21',28947,+
'2020-07-22',30777,+
'2020-07-23',32722,+
