Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,81,81,0
2020-03-29,83,83,0
2020-03-30,89,89,0
2020-03-31,104,104,0
2020-04-01,120,120,0
2020-04-02,125,125,0
2020-04-03,147,147,0
2020-04-04,195,195,0
2020-04-05,216,216,0
2020-04-06,220,219,-1
2020-04-07,225,243,18
2020-04-08,261,263,2
2020-04-09,279,309,30
2020-04-10,340,328,-12
2020-04-11,345,355,10
2020-04-12,377,385,8
2020-04-13,409,387,-22
2020-04-14,396,391,-5
2020-04-15,401,396,-5
2020-04-16,407,412,5
2020-04-17,429,432,3
2020-04-18,451,452,1
2020-04-19,472,468,-4
2020-04-20,486,479,-7
2020-04-21,495,483,-12
2020-04-22,495,493,-2
2020-04-23,508,502,-6
2020-04-24,517,515,-2
2020-04-25,532,525,-7
2020-04-26,541,530,-11
2020-04-27,543,545,2
2020-04-28,564,559,-5
2020-04-29,578,573,-5
2020-04-30,592,594,2
2020-05-01,617,609,-8
2020-05-02,630,627,-3
2020-05-03,650,631,-19
2020-05-04,646,652,6
2020-05-05,677,660,-17
2020-05-06,678,675,-3
2020-05-07,697,691,-6
2020-05-08,714,712,-2
2020-05-09,738,757,19
2020-05-10,797,778,-19
2020-05-11,805,783,-22
2020-05-12,802,795,-7
2020-05-13,818,833,15
2020-05-14,871,858,-13
2020-05-15,889,898,9
2020-05-16,938,935,-3
2020-05-17,974,948,-26
2020-05-18,975,970,-5
2020-05-19,1002,994,-8
2020-05-20,1028,1044,16
2020-05-21,1093,1108,15
2020-05-22,1166,1150,-16
2020-05-23,1197,1187,-10
2020-05-24,1232,1230,-2
2020-05-25,1279,1268,-11
2020-05-26,1315,1304,-11
2020-05-27,1351,1355,4
2020-05-28,1411,1453,42
2020-05-29,1536,1496,-40
2020-05-30,1550,1542,-8
2020-05-31,1599,1622,23
2020-06-01,1699,1682,-17
2020-06-02,1750,1734,-16
2020-06-03,1798,1886,88
2020-06-04,2008,1964,-44
2020-06-05,2047,2147,100
2020-06-06,2291,2207,-84
2020-06-07,2286,2312,26
2020-06-08,2417,2346,-71
2020-06-09,2414,2397,-17
2020-06-10,2475,2534,59
2020-06-11,2661,2758,97
2020-06-12,2937,2831,-106
2020-06-13,2930,2999,69
2020-06-14,3153,3102,-51
2020-06-15,3223,3178,-45
2020-06-16,3286,3413,127
2020-06-17,3612,3508,-104
2020-06-18,3633,3773,140
2020-06-19,3996,4061,65
2020-06-20,4303,4251,-52
2020-06-21,4444,4523,79
2020-06-22,4766,4780,14
2020-06-23,5020,5015,-5
2020-06-24,5248,5309,61
2020-06-25,5580,5583,3
2020-06-26,5849,5816,-33
2020-06-27,6065,6242,177
2020-06-28,6605,6576,-29
2020-06-29,6896,6918,22
2020-06-30,7249,7428,179
2020-07-01,7862,7963,101
2020-07-02,8421,8752,331
2020-07-03,9365,9430,65
2020-07-04,9997,10549,552
2020-07-05,11379,11058,-321
2020-07-06,12070.3,11687,-383.333
2020-07-07,12700.9,12291,-409.922
2020-07-08,13311.8,13125,-186.824
2020-07-09,13924.9,13922,-2.93233
2020-07-10,14552.2,14995,442.81
2020-07-11,15200.4,15525,324.616
2020-07-12,15873.6,16376,502.355
2020-07-13,16574.7,16904,329.253
2020-07-14,17305.8,17397,91.2147
2020-07-15,18068.5,18398,329.47
2020-07-16,18864.6,19454,589.386
2020-07-17,19695.6,20247,551.372
2020-07-18,20563.2,21100,536.827
2020-07-19,21468.9,21689,220.108
2020-07-20,22414.5,21996,-418.484
2020-07-21,23401.7,+,-23401.7
