Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,1,1,0
2020-03-31,1,1,0
2020-04-01,1,1,0
2020-04-02,1,1,0
2020-04-03,1,1,0
2020-04-04,1,1,0
2020-04-05,1,1,0
2020-04-06,1,1,0
2020-04-07,1,1,0
2020-04-08,1,1,0
2020-04-09,1,1,0
2020-04-10,1,1,0
2020-04-11,1,2,1
2020-04-12,2,2,0
2020-04-13,2,2,0
2020-04-14,2,2,0
2020-04-15,2,2,0
2020-04-16,2,2,0
2020-04-17,2,2,0
2020-04-18,2,3,1
2020-04-19,3,3,0
2020-04-20,3,3,0
2020-04-21,3,3,0
2020-04-22,3,3,0
2020-04-23,3,3,0
2020-04-24,3,3,0
2020-04-25,3,4,1
2020-04-26,4,4,0
2020-04-27,4,4,0
2020-04-28,4,4,0
2020-04-29,4,4,0
2020-04-30,4,4,0
2020-05-01,4,4,0
2020-05-02,4,4,0
2020-05-03,4,4,0
2020-05-04,4,4,0
2020-05-05,4,4,0
2020-05-06,4,4,0
2020-05-07,4,4,+
2020-05-08,4,4,+
2020-05-09,4,4,+
2020-05-10,4,4,+
2020-05-11,4,4,+
2020-05-12,4,5,1
2020-05-13,5,5,+
2020-05-14,5,5,+
2020-05-15,5,5,+
2020-05-16,5,5,+
2020-05-17,5,5,+
2020-05-18,5,5,+
2020-05-19,5,5,+
2020-05-20,5,6,1
2020-05-21,6,6,+
2020-05-22,6,6,+
2020-05-23,6,7,1
2020-05-24,7,8,1
2020-05-25,8,8,+
2020-05-26,8,9,1
2020-05-27,9,9,+
2020-05-28,9,9,+
2020-05-29,9,9,+
2020-05-30,9,9,+
2020-05-31,9,9,+
2020-06-01,9,8,-1
2020-06-02,8,10,2
2020-06-03,10,10,+
2020-06-04,10,13,3
2020-06-05,13,13,+
2020-06-06,13,13,+
2020-06-07,13,13,+
2020-06-08,13,13,+
2020-06-09,13,14,1
2020-06-10,14,14,+
2020-06-11,14,14,+
2020-06-12,14,17,3
2020-06-13,17,21,4
2020-06-14,21,21,+
2020-06-15,21,23,2
2020-06-16,23,26,3
2020-06-17,26,31,5
2020-06-18,31,33,2
2020-06-19,33,34,1
2020-06-20,34,37,3
2020-06-21,37,42,5
2020-06-22,43,42,-1
2020-06-23,42,43,1
2020-06-24,44,43,-1
2020-06-25,43,45,2
2020-06-26,46,46,+
2020-06-27,47,46,-1
2020-06-28,47,55,8
2020-06-29,56,56,+
2020-06-30,57,58,1
2020-07-01,59,61,2
2020-07-02,62,64,2
2020-07-03,65,66,1
2020-07-04,67,68,1
2020-07-05,69,71,2
2020-07-06,72,71,-1
2020-07-07,73.7041,73,-0.704081
2020-07-08,75.4756,76,0.524421
2020-07-09,77.2907,78,0.709293
2020-07-10,79.1495,85,5.85047
2020-07-11,81.0531,87,5.94694
2020-07-12,83.0024,88,4.99763
2020-07-13,84.9986,88,3.00145
2020-07-14,87.0427,93,5.95725
2020-07-15,89.1361,97,7.86389
2020-07-16,91.2798,97,5.72019
2020-07-17,93.4751,102,8.52493
2020-07-18,95.7231,103,7.27688
2020-07-19,98.0252,104,5.97476
2020-07-20,100.383,104,3.61727
2020-07-21,102.797,104,1.20309
2020-07-22,105.269,3.21143e-322,-105.269
