Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,6,2020-03-28
2020-03-29,6,2020-03-29
2020-03-30,6,2020-03-30
2020-03-31,13,2020-03-31
2020-04-01,13,2020-04-01
2020-04-02,13,2020-04-02
2020-04-03,13,2020-04-03
2020-04-04,13,2020-04-04
2020-04-05,13,2020-04-05
2020-04-06,17,2020-04-06
2020-04-07,21,2020-04-07
2020-04-08,31,2020-04-08
2020-04-09,31,2020-04-09
2020-04-10,33,2020-04-10
2020-04-11,34,2020-04-11
2020-04-12,34,2020-04-12
2020-04-13,34,2020-04-13
2020-04-14,34,2020-04-14
2020-04-15,33,2020-04-15
2020-04-16,36,2020-04-16
2020-04-17,38,2020-04-17
2020-04-18,42,2020-04-18
2020-04-19,42,2020-04-19
2020-04-20,42,2020-04-20
2020-04-21,42,2020-04-21
2020-04-22,45,2020-04-22
2020-04-23,44,2020-04-23
2020-04-24,47,2020-04-24
2020-04-25,47,2020-04-25
2020-04-26,45,2020-04-26
2020-04-27,46,2020-04-27
2020-04-28,48,2020-04-28
2020-04-29,49,2020-04-29
2020-04-30,50,2020-04-30
2020-05-01,50,2020-05-01
2020-05-02,50,2020-05-02
2020-05-03,54,2020-05-03
2020-05-04,54,2020-05-04
2020-05-05,54,2020-05-05
2020-05-06,55,2020-05-06
2020-05-07,57,2020-05-07
2020-05-08,58,2020-05-08
2020-05-09,64,2020-05-09
2020-05-10,64,2020-05-10
2020-05-11,66,2020-05-11
2020-05-12,66,2020-05-12
2020-05-13,69,2020-05-13
2020-05-14,69,2020-05-14
2020-05-15,71,2020-05-15
2020-05-16,73,2020-05-16
2020-05-17,76,2020-05-17
2020-05-18,77,2020-05-18
2020-05-19,77,2020-05-19
2020-05-20,77,2020-05-20
2020-05-21,113,2020-05-21
2020-05-22,114,2020-05-22
2020-05-23,128,2020-05-23
2020-05-24,134,2020-05-24
2020-05-25,138,2020-05-25
2020-05-26,139,2020-05-26
2020-05-27,141,2020-05-27
2020-05-28,142,2020-05-28
2020-05-29,153,2020-05-29
2020-05-30,167,2020-05-30
2020-05-31,169,2020-05-31
2020-06-01,171,2020-06-01
2020-06-02,171,2020-06-02
2020-06-03,204,2020-06-03
2020-06-04,211,2020-06-04
2020-06-05,229,2020-06-05
2020-06-06,241,2020-06-06
2020-06-07,251,2020-06-07
2020-06-08,255,2020-06-08
2020-06-09,259,2020-06-09
2020-06-10,304,2020-06-10
2020-06-11,322,2020-06-11
2020-06-12,330,2020-06-12
2020-06-13,334,2020-06-13
2020-06-14,345,2020-06-14
2020-06-15,348,2020-06-15
2020-06-16,375,2020-06-16
2020-06-17,484,2020-06-17
2020-06-18,518,2020-06-18
2020-06-19,558,2020-06-19
2020-06-20,605,2020-06-20
2020-06-21,643,2020-06-21
2020-06-22,668,2020-06-22
2020-06-23,680,2020-06-23
2020-06-24,757,2020-06-24
2020-06-25,830,2020-06-25
2020-06-26,901,2020-06-26
2020-06-27,974,2020-06-27
2020-06-28,1031,2020-06-28
2020-06-29,1077,2020-06-29
2020-06-30,1093,2020-06-30
2020-07-01,1162,2020-07-01
2020-07-02,1227,2020-07-02
2020-07-03,1312,2020-07-03
2020-07-04,1365,2020-07-04
2020-07-05,1429,2020-07-05
2020-07-06,1433,2020-07-06
2020-07-07,1445,2020-07-07
2020-07-08,1525,2020-07-08
2020-07-09,1616,2020-07-09
2020-07-10,1657,2020-07-10
2020-07-11,1713,2020-07-11
2020-07-12,1733,2020-07-12
2020-07-13,1802,2020-07-13
2020-07-14,1804,2020-07-14
2020-07-15,1875,2020-07-15
2020-07-16,1981,2020-07-16
2020-07-17,2077,2020-07-17
2020-07-18,2317,2020-07-18
2020-07-19,2321,2020-07-19
2020-07-20,2323,2020-07-20
2020-07-21,2326,2020-07-21
2020-07-22,2565,2020-07-22
2020-07-23,2752,2020-07-23
2020-07-24,2868,2020-07-24
2020-07-25,2977,2020-07-25
2020-07-26,3030,2020-07-26
2020-07-27,3149,2020-07-27
2020-07-28,3151,2020-07-28
2020-07-29,3266,2020-07-29
2020-07-30,3423,2020-07-30
2020-07-31,3527,2020-07-31
2020-08-01,3537,2020-08-01
2020-08-02,3785,2020-08-02
2020-08-03,3813,2020-08-03
2020-08-04,3850,2020-08-04
2020-08-05,3947,2020-08-05
2020-08-06,4176,2020-08-06
2020-08-07,4276,2020-08-07
2020-08-08,4279,2020-08-08
2020-08-09,4609,2020-08-09
2020-08-10,4669,2020-08-10
2020-08-11,4669,2020-08-11
2020-08-12,4814,2020-08-12
2020-08-13,4997,2020-08-13
2020-08-14,5133,2020-08-14
2020-08-15,5222,2020-08-15
2020-08-16,5300,2020-08-16
2020-08-17,5366,2020-08-17
2020-08-18,5365,2020-08-18
2020-08-19,5537,2020-08-19
'2020-08-20',5687,+
'2020-08-21',5818,+
'2020-08-22',5953,+
'2020-08-23',6090,+
'2020-08-24',6231,+
'2020-08-25',6376,+
'2020-08-26',6523,+
'2020-08-27',6674,+
'2020-08-28',6828,+
'2020-08-29',6986,+
'2020-08-30',7148,+
'2020-08-31',7313,+
'2020-09-01',7483,+
'2020-09-02',7656,+
'2020-09-03',7833,+
'2020-09-04',8014,+
