Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,1,1
2020-04-07,1,1,0
2020-04-08,1,1,0
2020-04-09,1,1,0
2020-04-10,1,1,0
2020-04-11,1,1,0
2020-04-12,1,1,0
2020-04-13,1,1,0
2020-04-14,1,3,2
2020-04-15,3,3,0
2020-04-16,3,4,1
2020-04-17,4,4,0
2020-04-18,4,4,0
2020-04-19,4,6,2
2020-04-20,6,6,0
2020-04-21,6,6,0
2020-04-22,6,6,0
2020-04-23,6,6,0
2020-04-24,6,6,0
2020-04-25,6,8,2
2020-04-26,8,10,2
2020-04-27,10,15,5
2020-04-28,15,16,1
2020-04-29,16,16,0
2020-04-30,16,20,4
2020-05-01,20,21,1
2020-05-02,21,21,0
2020-05-03,21,21,0
2020-05-04,21,22,1
2020-05-05,22,22,0
2020-05-06,22,28,6
2020-05-07,29,28,-1
2020-05-08,28,35,7
2020-05-09,36,39,3
2020-05-10,40,41,1
2020-05-11,42,41,-1
2020-05-12,42,79,37
2020-05-13,82,79,-3
2020-05-14,81,80,-1
2020-05-15,82,146,64
2020-05-16,152,149,-3
2020-05-17,153,149,-4
2020-05-18,153,149,-4
2020-05-19,153,149,-4
2020-05-20,153,194,41
2020-05-21,201,202,1
2020-05-22,208,206,-2
2020-05-23,212,223,11
2020-05-24,230,223,-7
2020-05-25,229,237,8
2020-05-26,244,252,8
2020-05-27,260,260,+
2020-05-28,268,278,10
2020-05-29,287,284,-3
2020-05-30,292,291,-1
2020-05-31,300,295,-5
2020-06-01,304,295,-9
2020-06-02,313.612,307,-6.61203
2020-06-03,323.539,325,1.46135
2020-06-04,333.78,331,-2.7798
2020-06-05,344.345,333,-11.3451
2020-06-06,355.245,341,-14.2449
2020-06-07,366.49,341,-25.4897
2020-06-08,378.09,342,-36.0904
2020-06-09,390.058,353,-37.0583
2020-06-10,402.405,355,-47.405
2020-06-11,415.143,356,-59.1426
2020-06-12,428.283,358,-70.2834
2020-06-13,441.84,360,-81.8401
2020-06-14,455.826,361,-94.8259
2020-06-15,470.254,363,-107.254
2020-06-16,485.14,376,-109.14
2020-06-17,500.496,2.19881e-315,-500.496
